瘤痢,瘤痢疙,老矫,弥历扁柯(∑C),弥绊扁柯(∑C)
159,何魂,2016-01-01,1.1,10.9
159,何魂,2016-01-02,4.6,12.2
159,何魂,2016-01-03,7.9,16.6
159,何魂,2016-01-04,7.6,15.2
159,何魂,2016-01-05,3.2,8.1
159,何魂,2016-01-06,1.8,9.9
159,何魂,2016-01-07,1.1,8.5
159,何魂,2016-01-08,-.5,6.9
159,何魂,2016-01-09,-.4,9.4
159,何魂,2016-01-10,.5,10.1
159,何魂,2016-01-11,1.7,10.1
159,何魂,2016-01-12,-.9,7.9
159,何魂,2016-01-13,-2.2,6.9
159,何魂,2016-01-14,.2,8.3
159,何魂,2016-01-15,-.5,10.6
159,何魂,2016-01-16,2.3,10.4
159,何魂,2016-01-17,5.1,10.3
159,何魂,2016-01-18,-4,6.9
159,何魂,2016-01-19,-5.4,.7
159,何魂,2016-01-20,-6.6,2
159,何魂,2016-01-21,-3.5,3.3
159,何魂,2016-01-22,-2.7,6.7
159,何魂,2016-01-23,-8.5,1.1
159,何魂,2016-01-24,-10.2,-4.2
159,何魂,2016-01-25,-8.2,2.4
159,何魂,2016-01-26,-3.9,7.3
159,何魂,2016-01-27,.7,9.2
159,何魂,2016-01-28,2.1,6
159,何魂,2016-01-29,3.5,5.3
159,何魂,2016-01-30,4.5,8.7
159,何魂,2016-01-31,1.4,7
159,何魂,2016-02-01,-1.2,7.3
159,何魂,2016-02-02,-4,7.9
159,何魂,2016-02-03,-2.8,7.5
159,何魂,2016-02-04,-.8,7.3
159,何魂,2016-02-05,.3,10.1
159,何魂,2016-02-06,-.7,7
159,何魂,2016-02-07,-1.7,9.4
159,何魂,2016-02-08,-1.2,8.8
159,何魂,2016-02-09,3.4,11.9
159,何魂,2016-02-10,1.3,11.8
159,何魂,2016-02-11,4,14.7
159,何魂,2016-02-12,9.7,13.9
159,何魂,2016-02-13,12.5,15.8
159,何魂,2016-02-14,-.4,15.2
159,何魂,2016-02-15,-3.5,4.2
159,何魂,2016-02-16,-2.3,6.3
159,何魂,2016-02-17,-.6,9.6
159,何魂,2016-02-18,.3,9.9
159,何魂,2016-02-19,5.7,14.8
159,何魂,2016-02-20,3.8,11.6
159,何魂,2016-02-21,-.2,8.9
159,何魂,2016-02-22,3.1,10.4
159,何魂,2016-02-23,3.9,12.8
159,何魂,2016-02-24,-.5,8.4
159,何魂,2016-02-25,-2.1,8.8
159,何魂,2016-02-26,1.3,10.6
