지점,지점명,일시,최저기온(°C),최고기온(°C)
133,대전,2016-01-01,-4.2,7.7
133,대전,2016-01-02,2,12.3
133,대전,2016-01-03,1,14.1
133,대전,2016-01-04,-.5,9.6
133,대전,2016-01-05,-3.4,3.7
133,대전,2016-01-06,-5.6,5.4
133,대전,2016-01-07,-2.6,4.1
133,대전,2016-01-08,-4.2,3.4
133,대전,2016-01-09,-1.9,6.1
133,대전,2016-01-10,-1.8,5.4
133,대전,2016-01-11,-5.4,3.8
133,대전,2016-01-12,-7.5,3.4
133,대전,2016-01-13,-3.7,1.5
133,대전,2016-01-14,-6.5,3.7
133,대전,2016-01-15,-3.7,6.4
133,대전,2016-01-16,-4.4,8.2
133,대전,2016-01-17,-1,5.3
133,대전,2016-01-18,-8.5,1.6
133,대전,2016-01-19,-11.2,-5.3
133,대전,2016-01-20,-12,-3.5
133,대전,2016-01-21,-8.8,-.5
133,대전,2016-01-22,-10.9,-.3
133,대전,2016-01-23,-11.5,-4.7
133,대전,2016-01-24,-17,-8.7
133,대전,2016-01-25,-14.2,-2.1
133,대전,2016-01-26,-6.3,3.5
133,대전,2016-01-27,-4.8,5.8
133,대전,2016-01-28,-5,2.4
133,대전,2016-01-29,1,5.7
133,대전,2016-01-30,-1.1,10
133,대전,2016-01-31,-4.2,2.9
133,대전,2016-02-01,-7.4,1.7
133,대전,2016-02-02,-9.7,2.6
133,대전,2016-02-03,-9.1,5.4
133,대전,2016-02-04,-6.3,5.9
133,대전,2016-02-05,-5.7,5.5
133,대전,2016-02-06,-4.6,3.4
133,대전,2016-02-07,-9.1,4.9
133,대전,2016-02-08,-5.7,8.1
133,대전,2016-02-09,-1,7.8
133,대전,2016-02-10,-4.6,12.7
133,대전,2016-02-11,-1.8,14.7
133,대전,2016-02-12,7.7,11.9
133,대전,2016-02-13,9,18.7
133,대전,2016-02-14,-3.6,8.9
133,대전,2016-02-15,-6.7,.8
133,대전,2016-02-16,-3.7,4.4
133,대전,2016-02-17,-4.3,6.8
133,대전,2016-02-18,-3.5,9.8
133,대전,2016-02-19,0,6.3
133,대전,2016-02-20,-1,8.9
133,대전,2016-02-21,-3.7,5.8
133,대전,2016-02-22,-1.4,7
133,대전,2016-02-23,-2.7,8.1
133,대전,2016-02-24,-6.5,4.1
133,대전,2016-02-25,-5.7,6.1
133,대전,2016-02-26,-.1,5.9
133,대전,2016-02-27,1.5,11.3
133,대전,2016-02-28,-.9,5.7
133,대전,2016-02-29,-5.5,.3
133,대전,2016-03-01,-7.5,4.9
133,대전,2016-03-02,-4.3,10.2
133,대전,2016-03-03,-.2,17
133,대전,2016-03-04,5.4,13
