瘤痢,瘤痢疙,老矫,弥历扁柯(∑C),弥绊扁柯(∑C)
156,堡林,2016-01-01,-1.5,8.1
156,堡林,2016-01-02,1.3,12.7
156,堡林,2016-01-03,3.7,13.7
156,堡林,2016-01-04,2.3,11.4
156,堡林,2016-01-05,-.7,5.8
156,堡林,2016-01-06,-1,7.5
156,堡林,2016-01-07,1.2,5.2
156,堡林,2016-01-08,-.2,4.8
156,堡林,2016-01-09,-.3,7.7
156,堡林,2016-01-10,-.1,8.5
156,堡林,2016-01-11,-.9,5.3
156,堡林,2016-01-12,-4.2,4.1
156,堡林,2016-01-13,-1.3,4.5
156,堡林,2016-01-14,-.6,5.8
156,堡林,2016-01-15,-2.2,8.4
156,堡林,2016-01-16,.6,10
156,堡林,2016-01-17,2.4,6.6
156,堡林,2016-01-18,-4.4,3.2
156,堡林,2016-01-19,-5.8,-2
156,堡林,2016-01-20,-6.8,-.8
156,堡林,2016-01-21,-5.3,.8
156,堡林,2016-01-22,-6.5,1.1
156,堡林,2016-01-23,-8.4,-3.2
156,堡林,2016-01-24,-11.7,-7.7
156,堡林,2016-01-25,-11.2,-1.5
156,堡林,2016-01-26,-3.8,4
156,堡林,2016-01-27,-1.4,6.7
156,堡林,2016-01-28,.4,4.8
156,堡林,2016-01-29,3,5.1
156,堡林,2016-01-30,.5,9.8
156,堡林,2016-01-31,-1.9,2.2
156,堡林,2016-02-01,-4,.7
156,堡林,2016-02-02,-5.7,2.3
156,堡林,2016-02-03,-5.9,5.7
156,堡林,2016-02-04,-3.8,6.5
156,堡林,2016-02-05,-2.2,5.7
156,堡林,2016-02-06,-2.4,2.8
156,堡林,2016-02-07,-5.6,5.3
156,堡林,2016-02-08,-3.5,9.2
156,堡林,2016-02-09,-.2,8.6
156,堡林,2016-02-10,-2.7,14
156,堡林,2016-02-11,4,17.1
156,堡林,2016-02-12,11.3,15.6
156,堡林,2016-02-13,6.5,19.8
156,堡林,2016-02-14,-2.2,6.5
156,堡林,2016-02-15,-4.2,.8
156,堡林,2016-02-16,-2.7,5.7
156,堡林,2016-02-17,-.9,7.2
156,堡林,2016-02-18,-1.5,11.6
156,堡林,2016-02-19,1.9,11.8
156,堡林,2016-02-20,1.1,9.4
156,堡林,2016-02-21,-.3,7.3
156,堡林,2016-02-22,.3,6
156,堡林,2016-02-23,-.3,9.6
156,堡林,2016-02-24,-3.1,3.2
156,堡林,2016-02-25,-3.3,7.7
156,堡林,2016-02-26,-1.3,7.9
156,堡林,2016-02-27,5.2,13.7
156,堡林,2016-02-28,1.1,14.7
156,堡林,2016-02-29,-3.5,1.5
156,堡林,2016-03-01,-4.3,5.8
156,堡林,2016-03-02,-3.2,13.2
156,堡林,2016-03-03,1.5,18.3
156,堡林,2016-03-04,10.1,14
156,堡林,2016-03-05,11.6,18
156,堡林,2016-03-06,8.5,18.5
156,堡林,2016-03-07,6.9,18.6
156,堡林,2016-03-08,1.6,11.4
156,堡林,2016-03-09,1,8.1
156,堡林,2016-03-10,-.8,5.8
156,堡林,2016-03-11,-2.1,6.1
156,堡林,2016-03-12,-2.5,10.6
156,堡林,2016-03-13,3,8.7
156,堡林,2016-03-14,1.5,9.9
156,堡林,2016-03-15,-.5,15.5
156,堡林,2016-03-16,4.3,17.4
156,堡林,2016-03-17,3.8,19.4
156,堡林,2016-03-18,9.7,14.4
156,堡林,2016-03-19,6.4,18.5
156,堡林,2016-03-20,3.5,17.7
156,堡林,2016-03-21,4.3,18
156,堡林,2016-03-22,3.8,18.4
156,堡林,2016-03-23,4.9,15.1
156,堡林,2016-03-24,2.2,14.4
