지점,지점명,일시,최저기온(°C),최고기온(°C)
108,서울,2015-01-01,-9.8,-4.3
108,서울,2015-01-02,-9,-1.9
108,서울,2015-01-03,-9.2,3.1
108,서울,2015-01-04,.2,8.5
108,서울,2015-01-05,-1.1,7.9
108,서울,2015-01-06,-7.6,4
108,서울,2015-01-07,-8.9,-.6
108,서울,2015-01-08,-9.5,-.2
108,서울,2015-01-09,-6.8,3.5
108,서울,2015-01-10,-5.6,4.8
108,서울,2015-01-11,-4.3,2.5
108,서울,2015-01-12,-7.3,3.7
108,서울,2015-01-13,-5.1,5.8
108,서울,2015-01-14,-.3,6.1
108,서울,2015-01-15,-1.1,9
108,서울,2015-01-16,-2.5,3.4
108,서울,2015-01-17,-7.7,0
108,서울,2015-01-18,-6.5,2.1
108,서울,2015-01-19,-4,3.1
108,서울,2015-01-20,-6.4,4.4
108,서울,2015-01-21,-1.2,6.5
108,서울,2015-01-22,.8,7.1
108,서울,2015-01-23,-1.6,4.9
108,서울,2015-01-24,.8,8.4
108,서울,2015-01-25,1.1,5
108,서울,2015-01-26,.2,6.5
108,서울,2015-01-27,-7.4,.5
108,서울,2015-01-28,-9.1,2.7
108,서울,2015-01-29,-4.6,3
108,서울,2015-01-30,-7,.8
108,서울,2015-01-31,-8.5,.8
108,서울,2015-02-01,-8.2,3.6
108,서울,2015-02-02,-5.3,6.4
108,서울,2015-02-03,-3.5,7.2
108,서울,2015-02-04,-3.1,5.8
108,서울,2015-02-05,-3.8,4.8
108,서울,2015-02-06,-4.3,6.5
108,서울,2015-02-07,-2.7,5.7
108,서울,2015-02-08,-11.9,-2.8
108,서울,2015-02-09,-13,-.1
108,서울,2015-02-10,-2,5.8
108,서울,2015-02-11,-.8,8
108,서울,2015-02-12,-4.7,1.6
108,서울,2015-02-13,-6.4,4
108,서울,2015-02-14,-3.1,6.6
108,서울,2015-02-15,3.2,13
108,서울,2015-02-16,4.1,7.9
108,서울,2015-02-17,.5,4.1
108,서울,2015-02-18,-1.5,3.3
108,서울,2015-02-19,-2.7,8.6
108,서울,2015-02-20,-1.3,11.4
108,서울,2015-02-21,4.8,6.7
108,서울,2015-02-22,-.7,7
108,서울,2015-02-23,-2.4,5.9
108,서울,2015-02-24,-1.1,7.5
108,서울,2015-02-25,.2,12.5
108,서울,2015-02-26,-3.5,4.7
108,서울,2015-02-27,-5.6,4.8
108,서울,2015-02-28,-2,6.4
108,서울,2015-03-01,-.2,5.9
108,서울,2015-03-02,-1.9,9.7
108,서울,2015-03-03,-1.3,6.7
108,서울,2015-03-04,-4.6,1.4
108,서울,2015-03-05,-5.4,5.5
108,서울,2015-03-06,-3.2,10.4
108,서울,2015-03-07,-2.3,11
108,서울,2015-03-08,.4,15.1
108,서울,2015-03-09,-5.4,8.2
108,서울,2015-03-10,-6.9,1
108,서울,2015-03-11,-5.1,7.5
108,서울,2015-03-12,-3.5,6.7
108,서울,2015-03-13,1.8,11
108,서울,2015-03-14,-1.2,11.6
108,서울,2015-03-15,0,12.5
108,서울,2015-03-16,1.3,18.6
108,서울,2015-03-17,6.9,16.1
108,서울,2015-03-18,8.4,14.4
108,서울,2015-03-19,6.5,21
108,서울,2015-03-20,7.6,21.9
108,서울,2015-03-21,6.9,17.8
108,서울,2015-03-22,2.2,14.9
108,서울,2015-03-23,0,10.1
108,서울,2015-03-24,-.9,12.4
108,서울,2015-03-25,.1,14.2
108,서울,2015-03-26,1.6,14.8
108,서울,2015-03-27,3.2,16.2
108,서울,2015-03-28,2.5,17
108,서울,2015-03-29,7,16.5
108,서울,2015-03-30,5.9,20.8
108,서울,2015-03-31,10,14.9
108,서울,2015-04-01,10,17.6
108,서울,2015-04-02,8.5,21.8
108,서울,2015-04-03,6.9,15.1
108,서울,2015-04-04,8.9,18.5
108,서울,2015-04-05,10.1,12.2
108,서울,2015-04-06,6.9,15.4
108,서울,2015-04-07,5.5,12.2
108,서울,2015-04-08,3.5,13.7
108,서울,2015-04-09,3.8,16.3
108,서울,2015-04-10,4.6,19.2
108,서울,2015-04-11,6.7,20.7
108,서울,2015-04-12,9.1,20.4
108,서울,2015-04-13,7.4,17.6
108,서울,2015-04-14,5.8,8
108,서울,2015-04-15,5.6,17
108,서울,2015-04-16,6.9,14.8
108,서울,2015-04-17,4.8,16.1
108,서울,2015-04-18,5.2,23.7
108,서울,2015-04-19,11.2,17.3
108,서울,2015-04-20,10.3,16.8
108,서울,2015-04-21,7.7,20.9
108,서울,2015-04-22,9.3,20.7
108,서울,2015-04-23,8,20.1
108,서울,2015-04-24,10.4,22.8
108,서울,2015-04-25,9.2,23
108,서울,2015-04-26,9.9,24.4
108,서울,2015-04-27,12.7,24.9
108,서울,2015-04-28,12.3,26.9
108,서울,2015-04-29,15.8,18.4
108,서울,2015-04-30,15.1,28.3
108,서울,2015-05-01,15.9,27.2
108,서울,2015-05-02,15.8,26
108,서울,2015-05-03,17.1,19.6
108,서울,2015-05-04,12.5,20.1
108,서울,2015-05-05,8.3,19.9
108,서울,2015-05-06,9.8,22
108,서울,2015-05-07,10.6,24
108,서울,2015-05-08,11.7,22.7
108,서울,2015-05-09,12.6,24
108,서울,2015-05-10,13.5,25.9
108,서울,2015-05-11,14.4,24.1
108,서울,2015-05-12,10.3,17.5
108,서울,2015-05-13,11.8,21.4
108,서울,2015-05-14,15.3,26.6
108,서울,2015-05-15,16.3,23.7
108,서울,2015-05-16,11.6,25.2
108,서울,2015-05-17,11.7,25.2
108,서울,2015-05-18,13.7,22.2
108,서울,2015-05-19,13,16.2
108,서울,2015-05-20,10.6,21.9
108,서울,2015-05-21,12.6,26
108,서울,2015-05-22,13.7,27.2
108,서울,2015-05-23,13.6,28.3
108,서울,2015-05-24,14,28.5
108,서울,2015-05-25,14.4,28.7
108,서울,2015-05-26,14.1,30.3
108,서울,2015-05-27,14.4,31.5
108,서울,2015-05-28,16.7,32.2
108,서울,2015-05-29,18.5,29.8
108,서울,2015-05-30,17,23.2
108,서울,2015-05-31,15.3,30.4
108,서울,2015-06-01,15.8,28.5
108,서울,2015-06-02,18.1,29.8
108,서울,2015-06-03,17.1,29.4
108,서울,2015-06-04,17.1,31.5
108,서울,2015-06-05,17.5,22
108,서울,2015-06-06,16.4,28.9
108,서울,2015-06-07,18.7,31.5
108,서울,2015-06-08,18.2,27.8
108,서울,2015-06-09,18.8,28.1
108,서울,2015-06-10,17.6,34.9
108,서울,2015-06-11,20.7,30.2
108,서울,2015-06-12,19.4,29.9
108,서울,2015-06-13,20.1,30.9
108,서울,2015-06-14,17.8,27.7
108,서울,2015-06-15,19.6,30.6
108,서울,2015-06-16,20,30.9
108,서울,2015-06-17,20.2,30.8
108,서울,2015-06-18,19.6,31.3
108,서울,2015-06-19,20,29.9
108,서울,2015-06-20,17,22.6
108,서울,2015-06-21,15.6,29.6
108,서울,2015-06-22,19.4,29.1
108,서울,2015-06-23,19.7,31
108,서울,2015-06-24,21.1,30.6
108,서울,2015-06-25,21,29.1
108,서울,2015-06-26,18,25.3
108,서울,2015-06-27,19.2,31.1
108,서울,2015-06-28,21,31.1
108,서울,2015-06-29,21.2,30.6
108,서울,2015-06-30,21.9,29.2
108,서울,2015-07-01,21,27.9
108,서울,2015-07-02,20.4,29.3
108,서울,2015-07-03,19.2,28.3
108,서울,2015-07-04,18.2,29.9
108,서울,2015-07-05,20.1,29.6
108,서울,2015-07-06,20.2,32.5
108,서울,2015-07-07,21.4,29.7
108,서울,2015-07-08,20.7,26.3
108,서울,2015-07-09,22.1,31.8
108,서울,2015-07-10,23.6,34.3
108,서울,2015-07-11,25.7,36
108,서울,2015-07-12,24,28
108,서울,2015-07-13,21.4,24.9
108,서울,2015-07-14,22.5,31.4
108,서울,2015-07-15,22.7,33.9
108,서울,2015-07-16,20.6,28.9
108,서울,2015-07-17,18.4,28.6
108,서울,2015-07-18,22.3,27.8
108,서울,2015-07-19,21.3,29.8
108,서울,2015-07-20,24.4,31.2
108,서울,2015-07-21,24.6,29.6
108,서울,2015-07-22,25.3,31.7
108,서울,2015-07-23,24.9,32.1
108,서울,2015-07-24,22.6,25.4
108,서울,2015-07-25,24.4,26.4
108,서울,2015-07-26,23.5,30
108,서울,2015-07-27,24.4,30
108,서울,2015-07-28,24.6,31.2
108,서울,2015-07-29,24.8,28.8
108,서울,2015-07-30,25.5,33.1
108,서울,2015-07-31,26.2,32.4
108,서울,2015-08-01,26,31.6
108,서울,2015-08-02,24.1,29.2
108,서울,2015-08-03,25.6,31.5
108,서울,2015-08-04,25.4,30.8
108,서울,2015-08-05,25.9,32.7
108,서울,2015-08-06,24.5,34.4
108,서울,2015-08-07,26,34.4
108,서울,2015-08-08,24.3,33
108,서울,2015-08-09,23.3,31
108,서울,2015-08-10,23.9,32
108,서울,2015-08-11,24.5,30.6
108,서울,2015-08-12,22.1,32.9
108,서울,2015-08-13,23.9,31.1
108,서울,2015-08-14,22.7,32.5
