-1.8,0,0,0.1,-0.4,-3.5,-1.4,1.1,0.2,-3.1,-1.6,-3.8,0.8,3.2,-5.5,-9.8,-4.3,-1.9,-2.1,-4.5,-1.8,0.5,-0.6,-4.3,-4.2,-4.1,-4.4,-2.6,-4.7,-5.1,-1.3
5.8,7.2,5.7,4.6,5.3,3.3,3.3,8.7,2.3,2,1.6,-2,0.5,-0.2,3.7,4.4,4,7.6,7.8,13.3,12.6,13.4,12.2,11.6,7.4,13.4,8.1,6.6,,,
3.8,2,2.3,5.4,6.9,8.7,5.8,6.9,5.4,7.1,10.1,14.6,16.9,8.7,7.1,4,6.5,13,15.4,11.1,13,7.2,7.2,9.2,6.5,8.1,10.9,9.4,9.4,14.2,16.9
15.6,12.6,15.4,16.5,17.5,17.4,11.5,17.3,16.4,16.4,14.7,16.2,17.3,19.1,21,17.7,19.6,10.4,15.8,17.7,19,14.4,13.8,14.5,16.7,12,14.6,14.9,19.4,14.8,
13.7,19.4,19.1,21.6,22.6,18,21.7,22.7,23.3,18.1,19.6,20.4,18.1,21.7,23.1,20.9,21.4,25.1,23.5,19.9,16.9,23.1,24.2,26.2,27,21,23,26.3,29,25.9,22
20.4,23.3,24.3,22.9,24.8,25.2,25.8,25.9,21.3,22.9,27.3,28.1,26.2,28.3,31.6,32.6,30.1,28.1,32.6,30.7,29.5,26.8,24.7,22.8,20.6,24.5,21.2,30.6,24,28.5,
29.9,29.8,25,27.9,30.9,32,25.8,25.2,29.7,26.5,23.1,26,26.8,28.1,28.4,28.6,31.9,35.8,34.1,32.8,33,25.8,30.2,27.9,30.5,31,28.9,27.4,30.9,31.2,27.5
30.4,32.3,30.7,29.8,35.6,33.2,33.1,27.7,28,29.5,30.9,28.7,28.4,29,28.2,28.2,25,30.5,27.6,26.1,30.5,29.7,30.5,29.2,29.9,30.7,32.1,32.5,31.7,33,32.4
31.7,33.3,31.2,29.9,28.7,27.9,27.5,25.7,21.3,24.8,23.3,28.5,29.5,29.4,30.8,31.3,31,26.5,19,22.3,24.6,24.1,25.8,25.9,26.8,28.5,28.4,23.5,19.5,19,
16.9,18.6,20.6,21.2,22.3,21.1,20.9,22.3,22.6,22.6,22,19.9,23.8,15.8,19.1,19.8,15.8,16.2,21.5,21.6,22,22,21.7,16.2,12.5,16.3,19.2,20,14.9,20.7,23.1
22.7,22.5,24.6,25.3,25.8,20.2,18.9,19.8,18.3,17.6,16,16.4,15.9,11.7,13.4,16.1,18.1,19.4,16.6,4.7,7.1,8.8,8.2,3.1,8.5,10.1,17,20.8,13.7,10.2,
9.9,8.9,9.4,6.8,5.7,9,7.6,4.9,1.4,1.1,6.6,8.1,8.5,7.1,0.7,-2.1,-0.2,2.5,3,4.3,6,2.2,-0.2,-2,-3,-2.6,1.3,3.5,1.8,1.8,2.1
0.6,-0.7,0.9,-3.5,-1,1.9,2.1,1.3,3,2.2,-2.1,0.6,3.8,3.4,1.7,8.7,8.7,6.8,8.3,8.5,5.3,-1.6,-4.6,-2,-4,3.2,5,4,2.8,-0.4,1.1
-6.2,-8.1,-3.5,2.3,5.8,6.8,1,-3.3,1.7,2.5,1.4,5.4,8.6,8.9,4.1,2.7,-1.5,-2.5,1.5,6.2,7.6,12.2,8.7,10.1,4.7,3.5,5.4,8.5,12.5,,
14.8,8.6,13.2,10.1,7.7,5.2,9,6.6,9.1,7.9,2.4,4.2,7,7.4,12.9,13.5,14.8,10,7.1,8.2,10,11.5,9.4,7.8,7.3,8.2,12.9,16,17.7,13.3,10.7
9.2,16.8,11.3,14.8,12.2,10.2,13,19,23.2,17.9,16,14.3,15.3,16.4,22.1,16.8,19.4,22.4,23.9,24.1,16.9,13.8,20.7,28.5,21,16.2,23.3,23.2,25.6,29.1,
28.1,28.7,26,25.6,24.9,24.3,24.8,27.9,26.4,27.2,21.2,22.2,25.7,17.8,22.3,22.4,20.4,24.9,25.5,27.5,28.5,29.1,27.5,24.2,26.1,25.2,25.5,24.9,25.6,24.3,26.3
26.4,28.5,28.5,28.9,27.4,27.9,28.7,26.4,28.7,28.1,26.6,29.2,29.4,31.2,27,28.5,29.3,30.1,33.9,30.4,31.6,28.9,31.4,31.5,31.9,30.4,30.2,29.6,31.2,24.6,
26.5,29,27.8,28.2,25.1,22.3,31.4,29.8,31.7,29.1,27.8,28.9,29.7,27.9,22,26.2,29,30.5,26,30.6,32.1,31.5,31.7,32.9,32.4,32.3,32,33.1,33.3,32.7,33.1
36.9,35.7,35.2,37,37.4,36.3,35.2,34,33.3,28.4,32.2,27.4,33,30.7,27.6,28.9,31.7,30.1,30.5,27.4,28.7,24.8,28.1,27.8,30.1,34.2,33.1,29.9,29.6,25.1,27.9
28.5,29.5,29.1,25,25.4,27.4,28.4,24.1,25.1,29,28.6,25,21.9,22.8,25.8,22.1,20.9,25,24.5,25.3,24.9,26.4,26.8,28,27.9,26.2,23,23.5,20,21,
24.6,24.9,26.1,24.4,23.4,24.4,25.3,24.1,22,20.8,19.2,22.2,23.4,22.8,22.1,23.8,16.2,17.4,20.1,21,23.8,17,15.1,18.7,20,22.7,16.8,18.6,17.1,12.8,12.5
10.6,13.1,16.3,15.3,11.8,9.8,12.3,13.7,15.4,15.8,12.8,9.7,9.4,7.2,10.1,8.5,9.1,9.2,8.8,7.1,9.6,11.3,7.6,7.4,7.7,6.4,6.8,9.9,5.6,7.2,
4.8,7.4,6,1.8,1.5,-2.8,-1,-3.7,-5.5,-2.1,0.4,0.8,3.7,4.7,9.6,4.4,4,-3.1,-2.2,2.1,2,0.5,-4.8,-2.6,-4.4,-5.4,0.4,2,1.8,0,-3.3
2,-3.4,-7.6,-3.7,0.9,-0.1,1.1,0.7,-5.2,-2,1.9,5.5,5.1,3.3,2.4,1,-1.4,1,5.5,4.8,4.5,5.6,3.5,3.5,-4.8,-5.1,-2.3,1,7.1,10.5,13.7
10.1,3.3,0.6,3.6,3.5,1,-1.6,-5.6,-1.7,1.2,0.4,-0.7,3.5,6,3,2.8,7.5,4.4,1.7,0.5,2.9,5.7,2.7,5.7,9.2,8,7.7,15.2,,,
8,2.9,4.6,8.9,10.3,15.1,11.2,14.5,25,7.9,12.8,12.9,9,9.1,10.8,12.2,17,12.7,11.3,9.3,6.8,7.1,12.9,9.5,7,10,15.5,12.3,11.4,10,12.5
15.9,10.5,14.1,19.8,21.4,13.1,8.6,14.2,10.3,9.7,10.5,11.6,19.3,14.1,11.5,21.7,18.5,16.3,15.2,8.8,15,18,13.6,16.9,13.9,16.4,18.4,22.4,17.2,19.1,
18.6,18.5,18.5,19.2,21,21,26.9,26.9,23.2,16.2,25.5,23.5,27.7,26.4,23.8,29.2,26.1,23.2,20.3,19,24.6,26.3,29.1,26.1,31.1,29,22.4,22.3,17.7,24.5,28.3
26.2,29.5,26.3,29.1,30.2,29.2,30.6,30.1,32,31.9,27.7,23.6,26.5,29.3,28.4,26.9,27.2,23.2,29.1,31.1,30.4,29.1,24.7,28.2,30,29.8,30.7,30.6,31.5,32.1,
30.9,28.9,31,27.3,30.5,29.3,29.2,26.2,28.5,27.2,26.4,24.7,27.1,27.2,30.3,30.3,26.5,29.9,30.9,31.1,30.4,30.8,27.5,27.8,30.7,30.2,30.7,27,28.3,30.6,30.1
33.1,32.6,33.9,32,32.1,28.3,33.2,34.6,32.2,30.8,34.3,33.9,33.6,33.5,33.3,33.1,33,32.9,32.9,33.3,34.4,34.7,27.6,32.6,32.2,32.1,30.4,31.3,26.7,28.7,28.7
29.1,28.2,28.4,28,24.7,23.3,27.7,29,28.3,25.5,24.2,27,25.3,25.5,29.2,28.6,30.2,31.2,29.6,29,28.7,27.1,28.8,22.6,25.2,24,24.4,20.2,19.6,26.2,
28.1,23.6,22.1,26.2,28.1,26.6,28.6,22.3,27.2,26.2,21.7,22.4,23.3,24.7,16.7,17.9,19.3,20.7,20,22.8,22.1,22.7,22.6,19.5,15.4,16.2,18.8,17.5,18,16.3,20.1
21.8,14.7,16.8,18.1,19,14.6,16.2,13.2,16.6,10.9,9,9.8,11.6,10.8,14.2,13.4,8.7,6.5,6.3,6.9,7.9,10.6,13.3,11.3,11,5.2,4,0.9,6.3,11.9,
9.2,7.4,11,9.1,9.8,7.9,11.5,10.5,6.1,4.5,2.4,2.5,-2.4,-0.4,2.2,1.7,5.8,7.7,0.2,1.1,2.3,3.2,3.3,4,5.3,4,-1.9,-0.6,2.2,7.5,8.9
9.3,7.3,9,5.7,4.9,6.6,5.2,5,-2.9,-0.5,2.2,3.5,-0.2,2.4,3.3,4,5.5,2.9,2.1,2.9,-1.9,2.6,5.1,7.7,6.7,3.2,7.2,5.5,8.6,6.5,8.4
7.1,7.3,3.6,-2.7,0.7,5.5,8.3,3.6,1.8,4.6,5.1,6.9,6.8,8,9.2,10.1,10.8,6.2,6.8,4.9,7.6,7.8,9.4,10.8,13.1,16,13.8,13.3,,,
10.4,11.4,12.1,12.2,6.3,6,5.6,7.5,6.3,7.1,12.6,8.6,8,9.5,14.7,17.3,21,15,11.5,12.1,12.1,16.8,17.8,16.9,18.6,21.3,20.3,24.7,17.8,20.8,20.7
23.8,23.2,14.8,11.2,11.5,12.9,16.9,20.3,15,19.3,17.6,16.2,23.4,22.1,18.8,21.4,21.9,23.5,19.2,21.5,21.5,23.4,25,25.9,26.3,25.2,18.1,15,20,21.6,
21.9,25.4,19.8,20.1,16.3,19.3,23,17.9,23.8,27.4,23.4,21.5,26.7,26.9,23.4,26.3,25.7,26.4,26,28.2,24.6,28,26.9,27.6,25.4,24.9,29.6,29.6,31.2,31.8,33.2
30.6,24.7,20.3,27.8,26.3,30.2,28,25.3,28.4,29,25,27.2,26.3,28,29.1,29.7,29.6,29.8,27.3,28.8,27.7,29.5,27.3,28.5,29.7,30.1,30.2,29.5,29.5,30.3,
32.3,29.9,25,32,29.3,27.7,33.7,30.4,32.6,32.9,33.1,29.1,29.5,31.5,31.2,31.5,29.1,30.8,31.1,32.4,30.8,28.2,24.9,27.2,34.6,27,29.7,31.2,27.5,33.5,34.2
34,34.3,30.3,28.5,31.1,27.7,25.8,30,31.5,28.5,28.6,30.6,26.1,23.7,29.3,30.2,24.8,25.7,26,29,25.1,28.9,29.8,30.4,29.2,30.4,28.7,30.5,30.6,29.6,27
30.7,27.1,23.4,28.3,29.6,30.7,31.4,29.4,28.2,28.5,29.2,25.5,28.4,28.4,27.5,27.3,24.3,23.8,27.7,27.3,27,28.2,27.9,23,27.8,25.8,26.5,25.1,21.7,24.3,
24,21.3,20.9,23.5,22.5,22.3,23,24.3,26.1,27.4,26.1,28.2,22.1,20.7,20.3,18.9,21.1,22.1,22.8,16.4,15.8,19,19.7,21.2,22.2,20.2,18.2,18.3,20.7,20.6,15.9
21.3,15.9,14.3,17.9,18.2,18.8,15.9,15.5,15.7,17.1,15.6,11.1,5.1,10.6,10.7,12.7,10.5,11.1,12.8,14.4,16.8,11,12,12.5,15,15.2,15.4,11.3,12.2,11,
