瘤痢,瘤痢疙,老矫,弥历扁柯(∑C),弥绊扁柯(∑C)
143,措备,2016-01-01,-4,8
143,措备,2016-01-02,-2.7,9.9
143,措备,2016-01-03,-2.3,13.9
143,措备,2016-01-04,1.1,11.4
143,措备,2016-01-05,.9,5.9
143,措备,2016-01-06,-.8,5.8
143,措备,2016-01-07,-.7,5.3
143,措备,2016-01-08,-1.8,4.5
143,措备,2016-01-09,-4.1,7.4
143,措备,2016-01-10,-3.9,8
143,措备,2016-01-11,-1.8,5.5
143,措备,2016-01-12,-5.9,5.2
143,措备,2016-01-13,-3.9,3.1
143,措备,2016-01-14,-3,3.9
143,措备,2016-01-15,-6,6.8
143,措备,2016-01-16,-4.8,8.3
143,措备,2016-01-17,-1.8,4.5
143,措备,2016-01-18,-5.1,3.7
143,措备,2016-01-19,-8.5,-3.6
143,措备,2016-01-20,-8.8,-1.8
143,措备,2016-01-21,-7.8,.4
143,措备,2016-01-22,-5.2,1.6
143,措备,2016-01-23,-10.7,-2.3
143,措备,2016-01-24,-13,-7.6
143,措备,2016-01-25,-10.2,.1
143,措备,2016-01-26,-5.5,4.9
143,措备,2016-01-27,-4.4,8.1
143,措备,2016-01-28,-4.4,2.5
143,措备,2016-01-29,-.2,1.8
143,措备,2016-01-30,0,4.8
143,措备,2016-01-31,-1.5,4.2
143,措备,2016-02-01,-3.7,2.7
143,措备,2016-02-02,-5.3,3.9
143,措备,2016-02-03,-6.1,5.3
143,措备,2016-02-04,-2.4,6.5
143,措备,2016-02-05,-1.8,6
143,措备,2016-02-06,-4.4,4.5
143,措备,2016-02-07,-5.4,6.5
143,措备,2016-02-08,-5.6,8.9
143,措备,2016-02-09,-.6,7.9
143,措备,2016-02-10,-4.3,11.9
143,措备,2016-02-11,-2.8,13.3
143,措备,2016-02-12,5.7,12.6
143,措备,2016-02-13,10.3,15.9
143,措备,2016-02-14,-2.2,15.6
143,措备,2016-02-15,-5.2,.9
143,措备,2016-02-16,-2.4,4.9
143,措备,2016-02-17,-1.7,7.4
143,措备,2016-02-18,-2.7,10.6
143,措备,2016-02-19,-.7,11.1
143,措备,2016-02-20,2.1,10.8
143,措备,2016-02-21,-1.4,6.6
143,措备,2016-02-22,-.7,7.5
143,措备,2016-02-23,.3,9.7
143,措备,2016-02-24,-1.8,4.6
143,措备,2016-02-25,-3.1,6.8
143,措备,2016-02-26,-2.2,8.4
143,措备,2016-02-27,1.5,12.3
143,措备,2016-02-28,1.6,15.3
143,措备,2016-02-29,-3.1,2.4
143,措备,2016-03-01,-4.6,5.7
143,措备,2016-03-02,-3.4,13.5
143,措备,2016-03-03,-1.5,17.5
143,措备,2016-03-04,4.2,9.4
143,措备,2016-03-05,7.6,17.2
143,措备,2016-03-06,8.1,19.1
143,措备,2016-03-07,6.7,17.4
143,措备,2016-03-08,7.1,10.6
143,措备,2016-03-09,4.2,12.2
143,措备,2016-03-10,.3,7
143,措备,2016-03-11,-1.8,6.9
143,措备,2016-03-12,-1.8,9.8
143,措备,2016-03-13,2.2,9.3
143,措备,2016-03-14,2.2,12.1
143,措备,2016-03-15,-1.4,15.6
143,措备,2016-03-16,5.4,18.6
143,措备,2016-03-17,1.9,21.1
143,措备,2016-03-18,8.6,13.7
143,措备,2016-03-19,6.7,16.9
143,措备,2016-03-20,7.3,11.7
143,措备,2016-03-21,5.2,16.8
143,措备,2016-03-22,4.5,20.2
143,措备,2016-03-23,6.4,15.7
143,措备,2016-03-24,3,10.8
143,措备,2016-03-25,3.3,11.6
143,措备,2016-03-26,2.8,13.6
143,措备,2016-03-27,1.8,15.7
143,措备,2016-03-28,3.7,18.7
143,措备,2016-03-29,5.6,18.8
143,措备,2016-03-30,7.8,22.4
143,措备,2016-03-31,6.8,21.1
143,措备,2016-04-01,5.6,23.2
143,措备,2016-04-02,6.7,24.3
143,措备,2016-04-03,9.2,15.6
143,措备,2016-04-04,9,13.1
143,措备,2016-04-05,8.5,20.9
143,措备,2016-04-06,8.3,22.1
143,措备,2016-04-07,9.4,17.6
143,措备,2016-04-08,8.7,24.8
143,措备,2016-04-09,10.2,25.7
143,措备,2016-04-10,10.1,19.8
143,措备,2016-04-11,7.2,13.6
143,措备,2016-04-12,4,19.8
143,措备,2016-04-13,12.5,17.1
143,措备,2016-04-14,12.3,25.3
143,措备,2016-04-15,10.2,21.9
143,措备,2016-04-16,8,21
143,措备,2016-04-17,13.4,20.1
143,措备,2016-04-18,12,21.8
143,措备,2016-04-19,9.8,21
143,措备,2016-04-20,7.3,22.2
143,措备,2016-04-21,9.6,17
143,措备,2016-04-22,11.6,27.2
143,措备,2016-04-23,15.4,22.1
143,措备,2016-04-24,9.8,21.8
143,措备,2016-04-25,7.9,25.9
143,措备,2016-04-26,9.6,24.2
143,措备,2016-04-27,9.4,12.8
143,措备,2016-04-28,9.5,19.1
143,措备,2016-04-29,9.4,22.7
143,措备,2016-04-30,9.8,26.9
143,措备,2016-05-01,12.2,29.3
143,措备,2016-05-02,12.5,27
143,措备,2016-05-03,14.6,21.4
143,措备,2016-05-04,14.7,25
143,措备,2016-05-05,11.7,28
143,措备,2016-05-06,18.4,24
143,措备,2016-05-07,15.2,25.5
143,措备,2016-05-08,10.5,26.1
143,措备,2016-05-09,15.1,24.9
143,措备,2016-05-10,12,20.1
143,措备,2016-05-11,12.5,23.4
143,措备,2016-05-12,12.2,27.4
143,措备,2016-05-13,12.7,22.2
143,措备,2016-05-14,9.1,23.1
143,措备,2016-05-15,11.1,25.1
143,措备,2016-05-16,10.6,22.5
143,措备,2016-05-17,8.2,27.4
143,措备,2016-05-18,11.8,31.1
143,措备,2016-05-19,12.1,29.9
143,措备,2016-05-20,11.9,29.6
143,措备,2016-05-21,11.4,27.2
143,措备,2016-05-22,10.5,27.4
143,措备,2016-05-23,11.2,30.6
143,措备,2016-05-24,15.9,22.7
143,措备,2016-05-25,13.8,28
143,措备,2016-05-26,15.5,28.2
143,措备,2016-05-27,21.3,29.1
143,措备,2016-05-28,19.2,29.2
143,措备,2016-05-29,17.6,28.6
143,措备,2016-05-30,16.3,32.3
143,措备,2016-05-31,19.4,30.8
143,措备,2016-06-01,16.6,25.1
143,措备,2016-06-02,12.3,28
143,措备,2016-06-03,15.9,31.2
143,措备,2016-06-04,17.4,23
143,措备,2016-06-05,16.8,25.6
143,措备,2016-06-06,17.7,19.3
143,措备,2016-06-07,17.8,28.4
143,措备,2016-06-08,19.6,24.7
143,措备,2016-06-09,19.7,27.4
143,措备,2016-06-10,18.2,32.1
143,措备,2016-06-11,20.7,31.6
143,措备,2016-06-12,21.7,26.3
143,措备,2016-06-13,19.2,28.3
143,措备,2016-06-14,18.5,28.4
143,措备,2016-06-15,19.4,25.6
