瘤痢,老矫,1老,2老,3老,4老,5老,6老,7老,8老,9老,10老,11老,12老,13老,14老,15老,16老,17老,18老,19老,20老,21老,22老,23老,24老,25老,26老,27老,28老,29老,30老,31老
143,2011-01,2.7,6.4,1.5,3.8,5.9,1.1,2,6.3,3,0.3,3.8,0.1,2.8,5.5,0.1,-3.2,1,1.7,2.7,1.4,2.7,5.2,4.1,0.6,1.7,1.4,1.4,2.3,-0.6,-1.1,2.7
143,2011-02,8.7,10.7,11.1,11.9,11.5,11.9,10.2,5.2,8.6,5.3,4.4,3.8,5,0.9,6.9,10,4.9,9.2,11.2,12.6,11.3,12.9,15.2,19.4,13.9,12.8,7.9,8.1,,,
143,2011-03,8.8,6.6,5.7,8.8,11,12.9,10,11.1,7.9,11.4,13.8,17.3,20.2,20.1,10.6,7.5,10.2,14.6,18.3,13,13.8,10.3,10.3,12.6,8.8,11.2,13.8,15.2,13.5,19,22.5
143,2011-04,23.4,14.2,12.7,15.3,20.2,21.1,17.2,18.7,20.9,24,17.2,21.5,23.4,24.4,28.6,19.1,20.5,14.4,16.5,22.1,22.7,15.6,17.7,18.2,21.5,15.7,22.7,18.1,21.9,25.9,
143,2011-05,22.1,24.4,25.4,23.3,22.7,20,27.5,29.1,27.4,27,15.5,20.2,25.3,26.7,28.4,25.1,26,29.1,28,28.6,28.8,22.5,19.3,26.4,23.4,16.4,16.9,23.2,25.9,27.7,18.5
143,2011-06,25.3,26.9,29.7,30,30.9,30.7,32,31.4,29.2,27.6,32.2,29.7,29.4,29.4,27.8,27.7,30.4,28.4,30.5,31.9,34.5,28.1,33,30.9,20.4,23.5,29.5,33,33.8,30,
143,2011-07,32.8,34.1,28.1,32.7,33.1,27.2,26.3,33.9,27.6,27.2,31.3,29.9,27.5,30.8,32.9,34.4,34.1,32.7,33.3,34.4,29.1,28.4,30.9,27.2,30.9,32.4,31.7,33.9,35,34.3,31.5
143,2011-08,30.1,26.1,32.9,35.1,34.3,33.1,32.6,32.9,30.4,29.9,33.4,34.4,33.7,33.5,33,34.2,31.5,28,24.1,23.8,27.8,23.8,23.9,26,26.4,27.8,29,29.7,32.6,33.1,33.3
143,2011-09,35.5,30.1,30.3,29.5,28.7,29.8,30,29,27,21.5,26.3,31.8,32.2,33.5,34.2,34,29.8,27.9,22.1,20.7,24.2,25.1,26.9,27.1,27.1,27.4,27.3,23.8,21.2,23.4,
143,2011-10,21.2,20.2,21.7,23.1,24.7,24.3,23.5,24.5,23.8,26.8,26.3,24.5,27.2,17.1,21.9,22.1,21,20,21.3,22.7,17.5,16,19.7,18.2,14.2,17.2,20.2,21,17.4,17.7,21.2
143,2011-11,23.6,20.6,24.6,25.4,24.5,19.3,21,16.5,17.2,16.9,19.2,18.1,18,15.1,15,16.6,13.6,14.7,20.3,10,9,9.3,10.2,7,10,13,17.8,13.4,17.6,12.8,
143,2011-12,7.9,10,9.4,11.3,10.5,8.8,11.1,9.5,5.5,5.2,8.6,9.5,11.5,12.4,7.7,1.1,2.6,5.1,6,6.4,8.2,4.7,1.4,2.4,1.5,1.7,5.7,7.4,8,7.5,5.1
143,2012-01,5.6,4.5,3.8,-0.4,3.1,5.3,6,6.9,6,6,2,3.2,6.6,6.1,5.7,4.5,8.2,7.8,8.2,10.4,9.2,5.7,-1.4,0.6,-1.1,4.5,8.4,7.7,7,3.8,4.6
143,2012-02,2.8,-4.6,0.9,5.5,7.5,6.8,5.1,-0.2,3,5.2,5.5,8.6,4.5,10.1,9.9,6.3,1.3,1.3,4.1,8.4,6.9,9.1,13.5,8.8,6.9,5.9,9.5,7.5,12.1,,
143,2012-03,15.9,8.9,10.5,9.8,7.7,12.1,12.5,12.6,12.6,12.2,5.9,7.2,9.9,14.6,14.3,10.5,15.5,17.6,12.4,12.2,15.5,10.1,8.4,11.5,10.3,12.3,19.4,19.5,20.8,17.3,14.1
143,2012-04,13.8,20.9,15.4,18.7,17.1,14.6,15.9,24.8,24.9,19.6,20.8,21.9,16.3,24.1,26.5,26.3,21.7,23.1,18.8,18.8,15,23,27,30.2,20.1,20.5,25.7,29.5,21.6,22.9,
143,2012-05,24.3,20.1,25,29.9,29,27.2,28.9,30,28.8,18.2,15.9,22.9,22.6,17,25.4,26.4,25.4,27.1,26.1,29,27.6,29.1,30.7,29.9,28.9,29.5,31.8,28.5,28.8,20.7,26.1
143,2012-06,29,27.1,30.7,30.2,31.9,30.5,31.4,23.8,27.9,31,28.5,29.9,26.4,25.2,22.3,27.9,31.4,27.9,28.4,27.2,30.5,31.8,31.2,27.1,25.9,24.3,22.3,27.8,30.7,29.4,
143,2012-07,30.5,32,32.7,33.5,27.8,29.7,28.3,31.9,33.5,30.2,28.7,31.4,31.8,27.3,28.8,26.9,25.1,29.9,33.5,33.1,32.6,29.8,34.7,36,35.3,36.2,35.9,36,37,36.9,37.2
143,2012-08,36.3,34.6,35,35.2,36.3,35.1,34.3,33.9,34.9,32.2,33.9,31.7,29,28.2,33.3,32.6,34.4,35.7,35.5,31.9,33.2,28.8,24.7,23,33.1,33.8,31.6,30.4,32.2,28.8,29.5
143,2012-09,29,30.6,31,30.7,30.8,28.8,29.4,30.3,23.5,25.1,27.7,28,27.1,23.2,24.2,20.5,24.2,26.9,27.1,26.8,26,26.9,27.3,27,26.3,25.8,25.6,26.4,24,24.3,
143,2012-10,25.1,26,25.3,26.1,24,25.3,23.8,22,22.9,24.4,21.8,22.5,24.4,25.1,23.2,23.7,19.5,18.5,21.5,21.3,24.8,24.6,17.6,18.6,22,23.3,16.2,22.5,20.3,16.9,15.2
