瘤痢,老矫,1老,2老,3老,4老,5老,6老,7老,8老,9老,10老,11老,12老,13老,14老,15老,16老,17老,18老,19老,20老,21老,22老,23老,24老,25老,26老,27老,28老,29老,30老,31老
156,2011-01,0.9,2,1.4,1.5,3.3,-0.8,0.4,4.2,1.2,-1,1.7,-0.7,2.6,4.2,-0.4,-4.4,-0.3,-0.5,1.6,-1.1,0.7,3.6,2.5,-1.2,0.7,0.1,0.3,0.5,-1.6,-2,1.5
156,2011-02,6.3,8.6,8.9,10.4,10.2,10.3,9.6,5.7,5.8,1.7,4,-0.4,3.4,2,7.5,9,2.8,9.8,12,15,13.3,12.2,15,17.5,12.1,16.7,13.8,10.8,,,
156,2011-03,5.2,5.1,4.6,6.9,10.7,12.4,7.2,10.2,6.9,9.8,13.6,17.7,19.6,19.3,8.9,6.1,9.3,16.7,15.6,13,13.7,6.8,9,11.4,7.4,9.5,13.8,12.6,12.5,16,21
156,2011-04,20.4,17.4,9.5,16.9,20.6,20.6,14.8,19.2,20.5,21.8,15.3,18.6,20.4,21.7,24.8,21.3,22.7,10.8,15.4,20.4,22.5,15.7,16.3,17.4,20.8,16.2,17.8,15.8,23.2,25.6,
156,2011-05,18.3,23.8,22.4,24.6,25.2,21.2,25.5,28.6,24.1,22.1,20.9,18.9,22.5,25.3,26.3,24.2,26.2,27.2,26.3,28.3,28,25.8,19.8,29.3,27.9,20.8,23.6,28.1,30.6,29.8,21.7
156,2011-06,25.9,28.8,29.1,28.2,31,30,30.4,30.4,23.9,27.2,30.5,29.7,26.4,28,27.4,30.7,27.9,28.9,31.1,31.1,33.1,25.1,30,27,27.6,25.5,26.7,31.4,31.2,27.4,
156,2011-07,26.1,30.9,28.4,29.5,32.1,23.3,26.2,31.2,26.5,28.8,31.3,28.1,28.5,29.5,31.6,31.5,33.1,35,35.3,34.5,31.9,30.1,31.2,31.6,30.6,31.4,31.6,32.1,32.3,32,32.7
156,2011-08,30.5,33.4,32.2,34.3,35.2,33.4,29.9,31,27.1,29.1,31.3,31.1,28.3,30.4,31.1,31.3,31.5,29.7,24.3,21.4,28.6,23.6,23.5,25.7,29.6,30.2,31.7,32,32.9,32.2,32.6
156,2011-09,33,32.1,32.5,30.8,28.9,28.4,29,26,26.9,23.3,28.4,31.1,31.9,32.6,33.3,33.1,33.1,26.4,23.4,25.7,24.2,24.8,26.7,27.9,27,28.2,28,25.5,22.6,22.3,
156,2011-10,19.1,19.1,21.1,23.2,24,22.2,23,24.7,25.2,27.7,25.4,23.3,26.9,18.1,21.4,20.8,20.2,20,23.4,23.2,22.5,22.8,18.7,15.7,14.8,19.3,20.8,22,20.5,21.2,22.8
156,2011-11,24.6,21.7,27.1,26.5,25.3,24,21.6,19.9,19.5,18.9,15.8,17.2,18,13.7,16.5,18.7,16.9,20.5,17.4,8.3,9.8,10,12.1,7.2,10.2,15.6,19.9,20.4,21,12.9,
156,2011-12,9.7,12.3,11.6,9.1,9.7,11.1,10.6,7.1,4.3,6.1,6.7,10.9,12,12.1,7.2,0.3,2.9,3.7,6.8,6.3,6.4,4.3,1.7,2.7,1.5,1.1,5.7,8,5.9,4.6,4.3
156,2012-01,4,3.3,3.1,-0.4,3.1,4,3.8,5.3,7.2,5.3,1.5,2.2,6.5,5.3,4.3,11.1,10,8.7,8.2,9.9,7,2.4,-1.6,-0.2,-1.4,3.6,8.7,9,6.3,4,6.6
156,2012-02,1.8,-5.2,0.3,5.1,6.3,4.3,3.1,-2,1.7,4.5,4.4,8.6,4.7,9.5,7.4,5.7,1.1,-0.7,2.6,7.7,4.7,13,9.5,13.2,4.9,4.9,9.3,7.3,14.9,,
156,2012-03,16,8.3,15.1,11.9,8.2,8.5,10.6,11.5,12.3,11,2.4,5.5,10.8,13.5,16.7,12.3,10.6,10.3,11.2,10.8,14.7,6,8.2,9.3,9.5,11.8,18.1,20.2,20.5,15.3,13
156,2012-04,14.3,18.4,15.5,17,16.6,13.8,16.7,22.6,23.5,17.2,16.4,18.2,13.1,22.2,25,23.7,21.5,24,16.1,20.5,17.5,15.3,25.3,28.5,20.2,18.2,25.8,27.9,20.6,25.4,
156,2012-05,21.5,26.9,24.8,27.6,27.8,27.3,28.9,30.1,30,26.9,21.7,23.4,20.1,18,23.5,24.6,23.1,26.7,25.4,28,28.4,28.7,29.9,25.4,27.7,29.5,29.5,30.2,31.6,26.4,28.1
156,2012-06,28.6,29.1,30.3,27.9,29.6,27.3,30.9,23,30.2,31.4,27.6,30.7,30.6,29.9,23.7,29.9,29.2,25.3,31.4,29.4,31.8,31.1,30.6,28.6,31.7,28.1,29.1,31.2,29.1,26,
156,2012-07,27.2,28.5,29.7,28.5,28.9,25.7,30.5,31.8,31,27.8,25.8,30.2,31.7,26.6,27.6,28.2,26.1,30,30.6,32.2,33.5,32.8,32.8,33.7,34.3,34.1,34.5,35.2,34.6,35,35
156,2012-08,36.7,34.1,35.7,36.8,37.7,36.1,34.1,33.4,33,28.6,34,32.6,27.4,30.3,30.6,30.3,34.8,33.1,33.1,29.6,33.4,26.9,26.7,26.2,33.2,34,31.2,26,30.9,24.6,29.7
156,2012-09,29.6,29.2,31.4,29.4,28.6,28.3,28.9,27.9,21.1,28.8,28.6,29.3,24.7,22,23.8,21.3,20.2,25.5,25.8,25.8,26.1,26.8,27.4,28.4,28.4,26.1,24.8,25.6,21.9,21.5,
156,2012-10,24.2,25.4,26.7,25.5,22.5,25.3,25.8,24.1,24.1,22.2,19.7,23.5,24.9,24.6,24.7,25.7,18.6,18.1,21.3,22.7,25.3,21,16.8,20.4,22.7,24.5,19,20.3,19.8,14.9,14.5
156,2012-11,12.5,15.8,18.7,15.9,15.5,14,15.4,16.2,18.8,18.6,14.6,14,13.9,9.2,11.9,12.1,11.4,12.7,13.4,8.6,10.7,15.5,9.3,9.2,9,9.2,9.3,16.2,9.1,10,
156,2012-12,7.4,10.5,8.8,5.5,9.1,1.4,6.6,2.6,0,2.3,3.2,5,9.3,10.2,10.2,12,7,1.8,1.9,6.9,5.3,3.8,0.6,1.1,2.5,-0.1,5.3,5,4.1,0.6,0.3
156,2013-01,5.2,1.4,-2.7,-0.7,2.9,3,3.6,5.3,0.2,0.7,5.1,8.3,4.8,6.4,6.4,3.4,0.3,4.7,6.8,10.8,7.9,6.4,3.7,3.9,0.3,0.3,-0.3,5.9,11,13.8,15.4
156,2013-02,14.5,7.3,3.8,6.2,4.5,3.5,1.2,-1.4,2,5,4.4,2.1,6.9,9,7.1,6.8,6.1,6.3,4.8,5,7.1,9.2,5.9,9,14,10.8,16.3,19.8,,,
156,2013-03,12.9,5.8,7.7,12.9,14.5,19.2,15.8,20.3,26.8,14.3,16.6,19.7,15.5,12,15.3,18.3,16.4,13.9,19.6,13.5,11.8,13.3,17.7,11.3,7.7,15.9,19.2,20,14.7,16.2,16.1
156,2013-04,20.8,11.2,18.6,24.1,21.7,14.4,8.2,17,14,9.5,13.8,13.1,20.7,18,22.1,25,24.6,19.5,18.7,10.1,16.2,21.2,15.2,19,14.3,18.9,20.6,24.3,19.3,21.7,
156,2013-05,20.9,19.5,20.7,21.6,24.6,26,27.3,29.1,24.3,17.3,26.5,26.4,29.4,29.1,27.9,29.3,27,25.8,20.1,21.4,28.8,30.1,31.8,32,32.1,27.3,23.4,23.2,20.2,27.5,26.5
156,2013-06,24,29.4,29.9,30.1,31.8,31.8,30.3,28.8,31.2,27.6,27.4,22.8,27.1,23.8,30.6,31.7,30.6,26.9,30.2,31.8,31.7,30.4,24.8,28.6,26,30.4,28.9,30.4,32.3,32.8,
156,2013-07,32.3,31.4,26.8,27.5,25.3,29.5,26.3,30.5,30.8,31.3,32.6,31.4,33.3,31.8,32.3,32.8,30.4,32.8,33,33.5,31.6,32.9,29.2,29.5,32.1,32.8,32.3,32.3,28.7,33.2,31.9
156,2013-08,34.2,32.2,30.8,32.5,31.6,34.5,36,35.7,35.6,35.9,36.1,35.4,35,34.7,34.7,35.6,34.8,36.2,35.7,35.6,35.8,35.3,28.5,25.9,32,30.9,32,32.1,31.2,29.1,29.1
156,2013-09,30.5,29.8,25.3,28.2,25.3,20.5,26.5,29.2,29.1,28.5,28,24.6,30.2,26.7,29.5,28.1,30.1,32.1,30.9,30.4,30.9,31,30.6,27.9,24.4,23.4,25.4,24.8,22.9,28.5,
156,2013-10,29.8,25.4,24.1,26.3,26.4,25.4,29,24.2,24.5,22.4,23.7,23.3,26.4,26.4,19.9,17.6,19.5,22.4,22.2,22.9,22.3,23.6,24,21.6,16.4,15.7,19.3,18.4,21.2,18.3,21.5
156,2013-11,23.8,19.1,19.9,17.9,20.7,20.6,19.9,18,16.8,16.3,9.9,11.6,13.4,10.8,15.8,15.8,11.7,5.5,8.4,8.1,11.2,11.4,12.8,14.4,12.2,10.6,5.5,2.5,6.6,8.2,
156,2013-12,11,9.9,11.6,11.5,8.3,10.4,11.4,14,13.8,7.3,5.2,8.6,3.5,6.7,5.4,4.1,8.2,12.1,4.1,2.1,3.7,5,7.1,7.8,5,5.6,2.9,2.1,2.3,8.5,10.4
156,2014-01,10.6,10.3,11.8,6.7,7.6,8.8,9.6,6,-0.6,3.5,5.6,6,2.6,4.1,4.7,6.5,7.5,4.3,6.4,7.8,0.1,3.7,7.9,13.6,12.8,8.2,10.6,10.4,14.2,9.1,13.8
