년,월,일,최대전력(MW)
2018,12,31,74652
2018,12,30,67295
2018,12,29,71171
2018,12,28,86083
2018,12,27,84377
2018,12,26,79897
2018,12,25,67836
2018,12,24,77453
2018,12,23,63817
2018,12,22,65656
2018,12,21,79490
2018,12,20,81081
2018,12,19,80550
2018,12,18,81939
2018,12,17,81991
2018,12,16,65711
2018,12,15,70400
2018,12,14,83871
2018,12,13,83702
2018,12,12,83447
2018,12,11,85463
2018,12,10,83776
2018,12,9,67263
2018,12,8,69510
2018,12,7,82072
2018,12,6,78157
2018,12,5,76287
2018,12,4,73600
2018,12,3,73728
2018,12,2,60232
2018,12,1,63484
2018,11,30,74676
2018,11,29,75914
2018,11,28,74495
2018,11,27,74408
2018,11,26,74483
2018,11,25,60418
2018,11,24,66363
2018,11,23,74515
2018,11,22,73930
2018,11,21,74205
2018,11,20,72086
2018,11,19,71325
2018,11,18,59566
2018,11,17,60668
2018,11,16,71160
2018,11,15,69041
2018,11,14,69403
2018,11,13,69176
2018,11,12,67888
2018,11,11,58243
2018,11,10,59583
2018,11,9,69575
2018,11,8,71046
2018,11,7,70063
2018,11,6,68452
2018,11,5,68082
2018,11,4,58032
2018,11,3,59940
2018,11,2,68213
2018,11,1,69302
2018,10,31,69211
2018,10,30,70329
2018,10,29,69629
2018,10,28,57363
2018,10,27,59055
2018,10,26,68352
2018,10,25,68029
2018,10,24,67241
2018,10,23,68261
2018,10,22,67942
2018,10,21,57268
2018,10,20,58460
2018,10,19,66699
2018,10,18,68273
2018,10,17,67428
2018,10,16,68140
2018,10,15,67919
2018,10,14,57197
2018,10,13,58171
2018,10,12,66908
2018,10,11,67931
2018,10,10,67212
2018,10,9,63339
2018,10,8,66445
2018,10,7,56947
2018,10,6,60380
2018,10,5,68545
2018,10,4,68210
2018,10,3,63204
2018,10,2,66291
2018,10,1,66789
2018,9,30,57311
2018,9,29,59632
2018,9,28,66524
2018,9,27,65404
2018,9,26,55992
2018,9,25,51414
2018,9,24,47981
2018,9,23,51604
2018,9,22,57029
2018,9,21,69729
2018,9,20,71784
2018,9,19,72654
2018,9,18,72897
2018,9,17,73080
2018,9,16,61788
2018,9,15,64896
2018,9,14,73530
2018,9,13,73607
2018,9,12,73004
2018,9,11,71320
2018,9,10,72230
2018,9,9,59747
2018,9,8,61542
2018,9,7,73304
2018,9,6,76604
2018,9,5,75416
2018,9,4,76268
2018,9,3,78405
2018,9,2,62574
2018,9,1,65117
2018,8,31,77420
2018,8,30,81281
2018,8,29,80284
2018,8,28,79359
2018,8,27,77224
2018,8,26,61434
2018,8,25,68483
2018,8,24,79844
2018,8,23,84786
2018,8,22,87911
2018,8,21,84025
2018,8,20,83917
2018,8,19,66730
2018,8,18,67131
2018,8,17,80289
2018,8,16,88720
2018,8,15,83275
2018,8,14,91548
2018,8,13,91405
2018,8,12,73509
2018,8,11,75167
2018,8,10,87807
2018,8,9,88582
2018,8,8,88955
2018,8,7,88893
2018,8,6,88816
2018,8,5,74791
2018,8,4,74087
2018,8,3,81589
2018,8,2,82283
2018,8,1,82486
2018,7,31,83087
2018,7,30,82882
2018,7,29,72063
2018,7,28,77487
2018,7,27,90678
2018,7,26,90682
2018,7,25,90399
2018,7,24,92478
2018,7,23,90695
2018,7,22,73794
2018,7,21,76999
2018,7,20,88080
2018,7,19,87591
2018,7,18,86710
2018,7,17,86286
2018,7,16,86306
2018,7,15,69798
2018,7,14,70700
2018,7,13,82076
2018,7,12,81393
2018,7,11,79406
2018,7,10,76258
2018,7,9,70920
2018,7,8,58944
2018,7,7,60855
2018,7,6,73639
2018,7,5,77530
2018,7,4,78919
2018,7,3,77312
2018,7,2,75611
2018,7,1,60609
2018,6,30,65571
2018,6,29,75049
2018,6,28,74820
2018,6,27,74803
2018,6,26,75237
2018,6,25,76606
2018,6,24,60899
2018,6,23,61832
2018,6,22,73832
2018,6,21,72656
2018,6,20,72551
2018,6,19,72215
2018,6,18,73210
2018,6,17,58275
2018,6,16,58833
2018,6,15,68421
2018,6,14,68133
2018,6,13,65009
2018,6,12,68930
2018,6,11,68243
2018,6,10,56753
2018,6,9,61116
2018,6,8,71187
2018,6,7,73379
2018,6,6,65117
2018,6,5,71221
2018,6,4,71429
2018,6,3,58359
2018,6,2,59990
2018,6,1,70127
2018,5,31,69024
2018,5,30,70407
2018,5,29,70664
2018,5,28,70232
2018,5,27,56576
2018,5,26,58811
2018,5,25,67071
2018,5,24,66977
2018,5,23,65409
2018,5,22,60900
2018,5,21,64307
2018,5,20,55326
2018,5,19,57867
2018,5,18,70160
2018,5,17,73173
2018,5,16,72229
2018,5,15,70067
2018,5,14,66805
2018,5,13,55959
2018,5,12,60553
2018,5,11,65425
2018,5,10,65752
2018,5,9,65350
2018,5,8,65600
2018,5,7,60354
2018,5,6,55321
2018,5,5,56278
2018,5,4,63828
2018,5,3,65747
2018,5,2,67840
2018,5,1,60435
2018,4,30,64781
2018,4,29,55893
2018,4,28,56946
2018,4,27,64547
2018,4,26,65403
2018,4,25,64939
2018,4,24,68449
2018,4,23,69692
2018,4,22,56420
2018,4,21,57277
2018,4,20,65575
2018,4,19,66264
2018,4,18,65506
2018,4,17,66456
2018,4,16,65800
2018,4,15,56623
2018,4,14,62481
2018,4,13,66251
2018,4,12,66438
2018,4,11,65533
2018,4,10,66523
2018,4,9,68149
2018,4,8,58110
2018,4,7,60912
2018,4,6,69296
2018,4,5,70520
2018,4,4,68281
2018,4,3,66335
2018,4,2,65846
2018,4,1,56397
2018,3,31,57558
2018,3,30,65637
2018,3,29,67110
2018,3,28,66068
2018,3,27,67622
2018,3,26,69467
2018,3,25,57513
2018,3,24,61698
2018,3,23,72231
2018,3,22,73423
2018,3,21,78017
2018,3,20,72583
2018,3,19,72795
2018,3,18,58324
2018,3,17,61946
2018,3,16,72510
2018,3,15,71174
2018,3,14,68060
2018,3,13,71017
2018,3,12,73285
2018,3,11,59781
2018,3,10,64427
2018,3,9,75922
2018,3,8,78855
2018,3,7,75974
2018,3,6,74384
2018,3,5,77198
2018,3,4,58887
2018,3,3,64571
2018,3,2,76433
2018,3,1,68728
2018,2,28,78122
2018,2,27,77133
2018,2,26,76656
2018,2,25,63005
2018,2,24,66278
2018,2,23,79069
2018,2,22,79662
2018,2,21,80128
2018,2,20,79383
2018,2,19,76438
2018,2,18,61172
2018,2,17,59867
2018,2,16,57733
2018,2,15,63182
2018,2,14,77843
2018,2,13,83809
2018,2,12,86637
2018,2,11,68538
2018,2,10,71240
2018,2,9,84660
2018,2,8,87277
2018,2,7,87513
2018,2,6,88238
2018,2,5,87623
2018,2,4,69711
2018,2,3,72685
2018,2,2,84653
2018,2,1,83904
2018,1,31,85260
2018,1,30,86754
2018,1,29,86561
2018,1,28,68496
2018,1,27,74418
2018,1,26,87063
2018,1,25,87247
2018,1,24,86277
2018,1,23,85442
2018,1,22,80609
2018,1,21,63917
2018,1,20,67813
2018,1,19,79633
2018,1,18,79748
2018,1,17,80766
2018,1,16,82564
2018,1,15,80495
2018,1,14,66286
2018,1,13,72843
2018,1,12,85497
2018,1,11,85612
2018,1,10,84978
2018,1,9,84021
2018,1,8,83012
2018,1,7,64428
2018,1,6,68502
2018,1,5,82551
2018,1,4,84027
2018,1,3,81596
2018,1,2,79331
2018,1,1,62145
2017,12,31,62446
2017,12,30,64779
2017,12,29,78857
2017,12,28,83478
2017,12,27,83589
2017,12,26,81374
2017,12,25,66498
2017,12,24,63302
2017,12,23,67211
2017,12,22,81852
2017,12,21,83450
2017,12,20,83664
2017,12,19,83873
2017,12,18,84640
2017,12,17,66825
2017,12,16,70890
2017,12,15,84115
2017,12,14,84968
2017,12,13,84012
2017,12,12,85133
2017,12,11,83927
2017,11,25,65980
2017,11,24,77605
2017,11,23,77003
2017,11,22,77349
2017,11,21,77327
2017,11,20,76794
2017,11,19,61715
2017,11,18,64400
2017,11,17,74345
2017,11,16,72971
2017,11,15,72590
2017,11,14,70501
2017,11,13,70689
2017,11,12,57618
2017,11,11,59621
2017,11,10,68299
2017,11,9,67500
2017,11,8,66862
2017,11,7,67851
2017,11,6,68148
2017,11,5,56809
2017,11,4,58933
2017,11,3,66731
2017,11,2,67063
